IPR000092|A0A010PIY8	IPR000092|A0A010PIY8
IPR000092|A0A010Q9D8	IPR000092|A0A010Q9D8
IPR000092|A0A010R0S7	IPR000092|A0A010R0S7
IPR000092|A0A010R1D7	IPR000092|A0A010R1D7
IPR000092|A0A010RA61	IPR000092|A0A010RA61
IPR000092|A0A010RF64	IPR000092|A0A010RF64
IPR000092|A0A010S3J5	IPR000092|A0A010S3J5
IPR000092|A0A011LX39	IPR000092|A0A011LX39
IPR000093|A0A009GD80	IPR000093|A0A009GD80
IPR000093|A0A009GD80	IPR000093|A0A009FKF4
IPR000093|A0A009GD80	IPR000093|A0A009I3P9
IPR000093|A0A009GD80	IPR000093|A0A009I4A7
IPR000093|A0A009GD80	IPR000093|A0A009KQC3
IPR000093|A0A009GD80	IPR000093|A0A009N7B2
IPR000093|A0A009GD80	IPR000093|A0A009PTZ0
IPR000093|A0A009GD80	IPR000093|A0A009RSG5
IPR000093|A0A009GD80	IPR000093|A0A009SYP4
IPR000093|A0A009GD80	IPR000093|A0A009YPG8
IPR000093|A0A009GD80	IPR000093|A0A010JWI6
IPR000093|A0A009GD80	IPR000093|A0A013SH76
IPR000093|A0A009GD80	IPR000093|A0A013TCL7
IPR000093|A0A009GD80	IPR000093|A0A013TWS3
IPR000093|A0A009GD80	IPR000093|A0A014B918
IPR000093|A0A009GD80	IPR000093|A0A014CJ18
IPR000093|A0A010NLY1	IPR000093|A0A010NLY1
IPR000093|A0A010STR6	IPR000093|A0A010STR6
IPR000093|A0A011MYZ0	IPR000093|A0A011MYZ0
IPR000093|A0A011MYZ0	IPR000093|A0A011NXX3
IPR000093|A0A011MYZ0	IPR000093|A0A011PGD8
IPR000093|A0A011MYZ0	IPR000093|A0A011QDC8
IPR000093|A0A011MYZ0	IPR000093|A0A011QY84
IPR000093|A0A011NDH5	IPR000093|A0A011NDH5
IPR000093|A0A011Q8J3	IPR000093|A0A011Q8J3
IPR000093|A0A011U249	IPR000093|A0A011U249
IPR000093|A0A011U249	IPR000093|A0A010YVL0
IPR000093|A0A011VGP6	IPR000093|A0A011VGP6
IPR000093|A0A011VGP6	IPR000093|A0A011UR47
IPR000093|A0A011WMH5	IPR000093|A0A011WMH5
IPR000096|A0A023G0P8	IPR000096|A0A023G0P8
IPR000096|A0A023G0P8	IPR000096|A0A023FXM7
IPR000096|A0A023G0P8	IPR000096|A0A023G0V0
IPR000096|A0A023G0P8	IPR000096|A0A023FYR9
IPR000096|A0A023G0P8	IPR000096|A0A023FQ83
IPR000096|A0A023G0P8	IPR000096|A0A023FT08
IPR000096|A0A023G8Q6	IPR000096|A0A023G8Q6
IPR000096|A0A023G8Q6	IPR000096|A0A023G9P8
IPR000096|A0A023G8Q6	IPR000096|A0A023GD27
IPR000096|A0A059TDQ0	IPR000096|A0A059TDQ0
IPR000096|A0A060YJU3	IPR000096|A0A060YJU3
IPR000096|A0A060YJU3	IPR000096|A0A060ZG49
IPR000096|A0A060YJU3	IPR000096|A0A076L0C1
IPR000096|A0A060YJU3	IPR000096|A0A087T1V7
IPR000096|A0A060YJU3	IPR000096|A0A087X666
IPR000096|A0A076L0H6	IPR000096|A0A076L0H6
IPR000096|A0A087T1V8	IPR000096|A0A087T1V8
IPR000096|A0A091CLH8	IPR000096|A0A091CLH8
IPR000096|A0A091E9B8	IPR000096|A0A091E9B8
IPR000096|A0A091LZT9	IPR000096|A0A091LZT9
IPR000096|A0A091LZT9	IPR000096|A0A087RK61
IPR000096|A0A091LZT9	IPR000096|A0A091GCI2
IPR000096|A0A091LZT9	IPR000096|A0A091IWK0
IPR000096|A0A091LZT9	IPR000096|A0A091KJG8
IPR000096|A0A091LZT9	IPR000096|A0A091PKW4
IPR000096|A0A091LZT9	IPR000096|A0A091HNI4
IPR000096|A0A091LZT9	IPR000096|A0A091CMJ0
IPR000096|A0A091LZT9	IPR000096|A0A076JSH7
IPR000096|A0A091QF26	IPR000096|A0A091QF26
IPR000096|A0A091QF26	IPR000096|A0A091N606
IPR000098|A0A061HZR3	IPR000098|A0A061HZR3
IPR000098|A0A068EGM0	IPR000098|A0A068EGM0
IPR000098|A0A068EGM0	IPR000098|A0A068EG07
IPR000098|A0A075CL63	IPR000098|A0A075CL63
IPR000098|A0A087YF61	IPR000098|A0A087YF61
IPR000098|A0A093G3V7	IPR000098|A0A093G3V7
IPR000098|A0A093G3V7	IPR000098|A0A087QPN1
IPR000098|A0A093NZ48	IPR000098|A0A093NZ48
IPR000098|A0A0A0REV9	IPR000098|A0A0A0REV9
IPR000098|A0A0A0REV9	IPR000098|A0A075INV4
IPR000098|A0A0A0REV9	IPR000098|A0A0A0RER1
IPR000098|A0A0A0REV9	IPR000098|A0A0A0RF92
IPR000098|A0A0A0REV9	IPR000098|A0A0A0RGR1
IPR000098|A0A0A1GK53	IPR000098|A0A0A1GK53
IPR000098|A0A0A1GK53	IPR000098|A0A088LJJ0
IPR000167|A0A022QUA9	IPR000167|A0A022QUA9
IPR000167|A0A022RCN5	IPR000167|A0A022RCN5
IPR000167|A0A023W6Y8	IPR000167|A0A023W6Y8
IPR000167|A0A023W6Y8	IPR000167|A0A023W6Z5
IPR000167|A0A023W6Y8	IPR000167|A0A023W765
